 40 2.28748857 0.1160 -0.031
 50 2.96773378 0.1187 0.012
 60 3.59639918 0.1201 0.047
 70 4.26632184 0.1203 0.074
 80 4.91559940 0.1198 0.096
 90 5.55456539 0.1187 0.112
100 6.20386491 0.1172 0.125

