-5.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00
-5.049278120359231e-01 0.000000000000000e+00 5.559974518547922e-11
-5.100165331991725e-01 0.000000000000000e+00 1.181073076795755e-10
-5.152723186657686e-01 0.000000000000000e+00 1.802412533460918e-10
-5.207020305828148e-01 0.000000000000000e+00 2.364892795481133e-10
-5.263122633543230e-01 0.000000000000000e+00 2.842856237960170e-10
-5.321095696145324e-01 0.000000000000000e+00 3.229949056696504e-10
-5.381005720640136e-01 0.000000000000000e+00 3.532136629621346e-10
-5.442920283443627e-01 0.000000000000000e+00 3.762484655431275e-10
-5.506908724656432e-01 0.000000000000000e+00 3.937301138335486e-10
-5.573042427928723e-01 0.000000000000000e+00 4.073432584078204e-10
-5.641395018217030e-01 0.000000000000000e+00 4.186522102296933e-10
-5.712092355091331e-01 0.000000000000000e+00 4.272870958964281e-10
-5.785460822092992e-01 0.000000000000000e+00 4.348419441635876e-10
-5.861345073560981e-01 0.000000000000000e+00 4.413613362318821e-10
-5.939828201760800e-01 0.000000000000000e+00 4.485496749690680e-10
-6.020996642378105e-01 0.000000000000000e+00 4.576035177140340e-10
-6.104940200073886e-01 0.000000000000000e+00 4.692751521303672e-10
-6.191752117207969e-01 0.000000000000000e+00 4.839369125971080e-10
-6.281529149108994e-01 0.000000000000000e+00 5.016446463139510e-10
-6.374371644300070e-01 0.000000000000000e+00 5.221938475434649e-10
-6.470383638505456e-01 0.000000000000000e+00 5.451766621966062e-10
-6.569672958737984e-01 0.000000000000000e+00 5.700296102381739e-10
-6.672351337667570e-01 0.000000000000000e+00 5.960799524058671e-10
-6.778534537343139e-01 0.000000000000000e+00 6.225908102052650e-10
-6.888342480518431e-01 0.000000000000000e+00 6.488064589976836e-10
-7.001899387490921e-01 0.000000000000000e+00 6.739980792176605e-10
-7.119333916377774e-01 0.000000000000000e+00 6.975091403711633e-10
-7.240779305055903e-01 0.000000000000000e+00 7.187979101633182e-10
-7.366555910894317e-01 0.000000000000000e+00 7.377831748583020e-10
-7.496633399039381e-01 0.000000000000000e+00 7.538799820679381e-10
-7.631160022867640e-01 0.000000000000000e+00 7.670176028877224e-10
-7.770289253031220e-01 0.000000000000000e+00 7.773301799603952e-10
-7.914179879759117e-01 0.000000000000000e+00 7.851452178025183e-10
-8.062996162057963e-01 0.000000000000000e+00 7.909500270182872e-10
-8.216907983788263e-01 0.000000000000000e+00 7.953412508394844e-10
-8.376091019296936e-01 0.000000000000000e+00 7.989634780863637e-10
-8.540726911141350e-01 0.000000000000000e+00 8.024448055630930e-10
-8.711141888908278e-01 0.000000000000000e+00 8.063320351854846e-10
-8.887398740986018e-01 0.000000000000000e+00 8.110457557289341e-10
-9.069698482610727e-01 0.000000000000000e+00 8.168986320722382e-10
-9.258248989273044e-01 0.000000000000000e+00 8.240543414739926e-10
-9.453265226975192e-01 0.000000000000000e+00 8.325432945040928e-10
-9.654969518319541e-01 0.000000000000000e+00 8.423017189328544e-10
-9.863591818206540e-01 0.000000000000000e+00 8.532264234874763e-10
-1.007936999726873e+00 0.000000000000000e+00 8.652347430106871e-10
-1.030266944603753e+00 0.000000000000000e+00 8.784000302033534e-10
-1.053363137760446e+00 0.000000000000000e+00 8.926887134770405e-10
-1.077251931950736e+00 0.000000000000000e+00 9.083335460473210e-10
-1.101960594077261e+00 0.000000000000000e+00 9.257032884647191e-10
-1.127517334926826e+00 0.000000000000000e+00 9.452616987488515e-10
-1.153951341183421e+00 0.000000000000000e+00 9.675119860819408e-10
