# #"Time" "KineticEnergy" "SolenoidalDissipation" "DilatationalDissipation""
2.500000000000000139e-02 1.249915498711634404e-01 4.685405745022581405e-04 6.691241500523028203e-07
5.000000000000000278e-02 1.249897252867231134e-01 4.686231942443555608e-04 1.117272729646356388e-06
7.499999999999999722e-02 1.249943854825105449e-01 4.689292930848023406e-04 2.080043696072971144e-06
1.000000000000000056e-01 1.250052085799397972e-01 4.693804999751591831e-04 3.292806867796025126e-06
1.250000000000000000e-01 1.250218102055369040e-01 4.699806798175996166e-04 4.643543650176434674e-06
1.499999999999999944e-01 1.250437614428810684e-01 4.707327639630238831e-04 6.065029715594572937e-06
1.749999999999999889e-01 1.250706072158645765e-01 4.716382829246867979e-04 7.528262148422072181e-06
2.000000000000000111e-01 1.251018800390884256e-01 4.726972173352260464e-04 9.057445693564658776e-06
2.250000000000000056e-01 1.251371003388194458e-01 4.739085076982155437e-04 1.069547036558651726e-05
2.500000000000000000e-01 1.251757713814731776e-01 4.752711594582069302e-04 1.240368211273016680e-05
2.750000000000000222e-01 1.252173908005934089e-01 4.767844237066310407e-04 1.407724225488345859e-05
2.999999999999999889e-01 1.252614799338625795e-01 4.784466816304484209e-04 1.561710463522467880e-05
3.250000000000000111e-01 1.253076137668686085e-01 4.802544057597696965e-04 1.697571530268032731e-05
3.499999999999999778e-01 1.253554385073948618e-01 4.822019723326229730e-04 1.814491877720865931e-05
3.750000000000000000e-01 1.254046791099244773e-01 4.842819158378552404e-04 1.913349794749956323e-05
4.000000000000000222e-01 1.254551419828785486e-01 4.864852443238487385e-04 1.995746355674054849e-05
4.249999999999999889e-01 1.255067144088679865e-01 4.888017376240168504e-04 2.063745007924444529e-05
4.500000000000000111e-01 1.255593602471053727e-01 4.912202420804533424e-04 2.119770581671036954e-05
4.749999999999999778e-01 1.256131113459123261e-01 4.937289823468745537e-04 2.166545172212500038e-05
5.000000000000000000e-01 1.256680544530972832e-01 4.963159051234105690e-04 2.207050200820231164e-05
5.250000000000000222e-01 1.257243137897458007e-01 4.989690546524798475e-04 2.244484953123173892e-05
5.500000000000000444e-01 1.257820298119913804e-01 5.016769612966891136e-04 2.282191727124882234e-05
5.749999999999999556e-01 1.258413350244518281e-01 5.044290126590930982e-04 2.323539172644086982e-05
5.999999999999999778e-01 1.259023280253168120e-01 5.072157758604589834e-04 2.371773571288940735e-05
6.250000000000000000e-01 1.259650472357170536e-01 5.100292475042078350e-04 2.429855304465309299e-05
6.500000000000000222e-01 1.260294459904544029e-01 5.128630194764264520e-04 2.500297432137449494e-05
6.750000000000000444e-01 1.260953708220040326e-01 5.157123595733719302e-04 2.585019704561273139e-05
6.999999999999999556e-01 1.261625448390841508e-01 5.185742137365741741e-04 2.685227747436874795e-05
7.249999999999999778e-01 1.262305580439278818e-01 5.214471411012346156e-04 2.801325149025797145e-05
7.500000000000000000e-01 1.262988662255229433e-01 5.243311948856716788e-04 2.932865833832329336e-05
7.750000000000000222e-01 1.263667996580479791e-01 5.272277623024273574e-04 3.078554584281664936e-05
8.000000000000000444e-01 1.264335822297725787e-01 5.301393758791527822e-04 3.236303591500472977e-05
8.249999999999999556e-01 1.264983608067268561e-01 5.330695072768139265e-04 3.403351189570094176e-05
8.499999999999999778e-01 1.265602436538320053e-01 5.360223531517840055e-04 3.576444483474188222e-05
8.750000000000000000e-01 1.266183456698199705e-01 5.390026210215728307e-04 3.752080079352162892e-05
9.000000000000000222e-01 1.266718371672322929e-01 5.420153215780737065e-04 3.926787189079186658e-05
9.250000000000000444e-01 1.267199921320425471e-01 5.450655725236719850e-04 4.097426820673717880e-05
9.499999999999999556e-01 1.267622314974432840e-01 5.481584178018965737e-04 4.261472426998079752e-05
9.749999999999999778e-01 1.267981571392156059e-01 5.512986650050152263e-04 4.417234384547192130e-05
1.000000000000000000e+00 1.268275731048779664e-01 5.544907427229918721e-04 4.563995145870284844e-05
1.024999999999999911e+00 1.268504919782280915e-01 5.577385785950172807e-04 4.702033855183981539e-05
1.050000000000000044e+00 1.268671260698465697e-01 5.610454978565394477e-04 4.832536236670421123e-05
1.074999999999999956e+00 1.268778650242602390e-01 5.644141412966565113e-04 4.957403799102030623e-05
1.100000000000000089e+00 1.268832431287737483e-01 5.678464008833542876e-04 5.078992179289343762e-05
1.125000000000000000e+00 1.268839008221402664e-01 5.713433710099343442e-04 5.199819558089075605e-05
1.149999999999999911e+00 1.268805454293032986e-01 5.749053134787391814e-04 5.322291769010189421e-05
1.175000000000000044e+00 1.268739158917451260e-01 5.785316350116773230e-04 5.448490455845604054e-05
1.199999999999999956e+00 1.268647552303737158e-01 5.822208771937585408e-04 5.580062888537213749e-05
1.225000000000000089e+00 1.268537927962606893e-01 5.859707201500714141e-04 5.718234802570804727e-05
1.250000000000000000e+00 1.268417363296030220e-01 5.897780026658437863e-04 5.863941429100669151e-05
1.274999999999999911e+00 1.268292718853335777e-01 5.936387625698990016e-04 6.018043123487587553e-05
1.300000000000000044e+00 1.268170682847266917e-01 5.975483017275837194e-04 6.181571986555355004e-05
1.324999999999999956e+00 1.268057822600239803e-01 6.015012797211239217e-04 6.355954082380776764e-05
1.350000000000000089e+00 1.267960609009023687e-01 6.054918391669343938e-04 6.543168709692691201e-05
1.375000000000000000e+00 1.267885391423478614e-01 6.095137637104926362e-04 6.745832691172836358e-05
1.399999999999999911e+00 1.267838314047548820e-01 6.135606672387802600e-04 6.967222255942761308e-05
1.425000000000000044e+00 1.267825177318882279e-01 6.176262100074382229e-04 7.211260908060649721e-05
1.449999999999999956e+00 1.267851256420835793e-01 6.217043344388367004e-04 7.482508535278612090e-05
1.475000000000000089e+00 1.267921093659242493e-01 6.257895105530042468e-04 7.786189076869050405e-05
1.500000000000000000e+00 1.268038282651686999e-01 6.298769785738113098e-04 8.128296558686998110e-05
1.524999999999999911e+00 1.268205261158291131e-01 6.339629744801640555e-04 8.515826716662560129e-05
1.550000000000000044e+00 1.268423127221176283e-01 6.380449234320985201e-04 8.957197255600476515e-05
1.574999999999999956e+00 1.268691491025965568e-01 6.421215864129044010e-04 9.462948270404012818e-05
1.600000000000000089e+00 1.269008373925462341e-01 6.461931473203002575e-04 1.004686641517036998e-04
1.625000000000000000e+00 1.269370167903834945e-01 6.502612311289704145e-04 1.072777796623268021e-04
1.649999999999999911e+00 1.269771673033246728e-01 6.543288483571814071e-04 1.153243224371544730e-04
1.675000000000000044e+00 1.270206232676282521e-01 6.584002665853767779e-04 1.250007184679998318e-04
1.699999999999999956e+00 1.270665976068703351e-01 6.624808162782573487e-04 1.368904018739704068e-04
1.725000000000000089e+00 1.271142148702638086e-01 6.665766475764394079e-04 1.518400030097836757e-04
1.750000000000000000e+00 1.271625479571521222e-01 6.706944687420036532e-04 1.709739480399002909e-04
1.774999999999999911e+00 1.272106534184422322e-01 6.748413117793825022e-04 1.955432828638731745e-04
1.800000000000000044e+00 1.272576030630152566e-01 6.790243852504499996e-04 2.264987826434662556e-04
1.824999999999999956e+00 1.273025163547135963e-01 6.832510100563376609e-04 2.640047172472259423e-04
1.850000000000000089e+00 1.273445798073662427e-01 6.875287200162710733e-04 3.075320011952135339e-04
1.875000000000000000e+00 1.273830677334917838e-01 6.918652221604133876e-04 3.554458661421085793e-04
1.899999999999999911e+00 1.274173751205671667e-01 6.962678914800926339e-04 4.059311471672845438e-04
1.925000000000000044e+00 1.274469996761763424e-01 7.007442243834520294e-04 4.576231139679293788e-04
1.949999999999999956e+00 1.274715667285490905e-01 7.053018200199585950e-04 5.094581196948274682e-04
1.975000000000000089e+00 1.274907876373035931e-01 7.099478563378215602e-04 5.611061843476636713e-04
2.000000000000000000e+00 1.275044726092601222e-01 7.146898547438467874e-04 6.109431234541262299e-04
2.024999999999999911e+00 1.275125705787213404e-01 7.195350289625638890e-04 6.600128920564020223e-04
2.049999999999999822e+00 1.275151099093491114e-01 7.244903774082922781e-04 7.063001452418393722e-04
2.075000000000000178e+00 1.275122584829805339e-01 7.295642297336598671e-04 7.504926857916871747e-04
2.100000000000000089e+00 1.275042680143378682e-01 7.347627517650835846e-04 7.929274164736853110e-04
2.125000000000000000e+00 1.274914225128013778e-01 7.400949564806070169e-04 8.307956101307353803e-04
2.149999999999999911e+00 1.274741294108098499e-01 7.455663583226851323e-04 8.694971055141650050e-04
2.174999999999999822e+00 1.274526515052420983e-01 7.511850620416226244e-04 9.016452420561109045e-04
2.200000000000000178e+00 1.274274087351514040e-01 7.569584005294018123e-04 9.352575354889268488e-04
2.225000000000000089e+00 1.273986189294373517e-01 7.628923571828636219e-04 9.632220160943689080e-04
